Popolazione straniera iscritta in anagrafe al 31 dicembre 2014 per municipio, sesso e cittadinanza;;;;;;;;;;;Popolazione straniera iscritta in anagrafe al 31 dicembre 2014 per municipio, sesso e cittadinanza;;;;;;;;;;;;;;;;;;;;Popolazione straniera iscritta in anagrafe al 31 dicembre 2014 per municipio, sesso e cittadinanza;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cittadinanza;Continente Politico;Municipio e sesso;;;;;;;;;;;;;;;Municipio e sesso;;;;;;;;;;;;;;;Municipio e sesso;;;;;;;;;;;;;;;;;;Totale ;;
;;1;;;2;;;3;;;4;;;5;;;6;;;7;;;8;;;9;;;10;;;11;;;12;;;13;;;14;;;15;;;n.i.;;;;;
;;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF
COLOMBIA;AMERICA DEL SUD;196;182;378;51;91;142;62;111;173;46;56;102;140;186;326;86;101;187;76;137;213;47;57;104;55;73;128;40;66;106;48;84;132;41;67;108;80;77;157;71;124;195;79;129;208;0;0;0;1.118;1.541;2.659
ETIOPIA;AFRICA;347;321;668;37;116;153;23;56;79;44;79;123;124;221;345;120;175;295;85;123;208;18;40;58;15;45;60;41;75;116;33;62;95;15;48;63;35;50;85;24;63;87;27;88;115;0;2;2;988;1.564;2.552
AFGHANISTAN;ASIA;2.166;27;2.193;12;1;13;18;7;25;27;3;30;41;6;47;62;4;66;21;3;24;4;0;4;28;2;30;10;3;13;20;0;20;7;1;8;57;2;59;12;0;12;5;1;6;0;0;0;2.490;60;2.550
REGNO UNITO;EUROPA COMUNITARIA;286;288;574;96;151;247;42;46;88;22;27;49;52;43;95;13;15;28;70;76;146;79;123;202;45;67;112;84;188;272;34;24;58;79;97;176;37;49;86;36;63;99;96;144;240;1;1;2;1.072;1.402;2.474
GERMANIA;EUROPA COMUNITARIA;240;320;560;94;171;265;22;70;92;25;34;59;26;53;79;14;30;44;41;103;144;53;63;116;23;60;83;48;101;149;28;70;98;85;193;278;64;107;171;20;81;101;50;110;160;0;2;2;833;1.568;2.401
TUNISIA;AFRICA;198;48;246;38;29;67;59;68;127;64;39;103;188;123;311;275;153;428;117;78;195;50;31;81;57;30;87;79;61;140;88;57;145;32;28;60;51;41;92;64;50;114;69;57;126;0;1;1;1.429;894;2.323
PAKISTAN;ASIA;889;46;935;31;9;40;14;5;19;38;17;55;241;74;315;358;107;465;70;32;102;15;10;25;23;13;36;72;18;90;23;11;34;10;9;19;54;13;67;41;19;60;39;17;56;1;0;1;1.919;400;2.319
BULGARIA;EUROPA COMUNITARIA;50;207;257;29;120;149;17;93;110;32;75;107;52;127;179;102;167;269;35;162;197;19;56;75;31;71;102;56;127;183;16;61;77;15;69;84;17;67;84;27;96;123;37;88;125;0;0;0;535;1.586;2.121
BOSNIA-ERZEGOVINA;EUROPA NON COMUNITARIA;89;76;165;4;7;11;36;39;75;153;125;278;34;39;73;66;55;121;44;46;90;96;95;191;275;261;536;9;8;17;162;153;315;4;4;8;22;16;38;66;88;154;1;6;7;0;1;1;1.061;1.019;2.080
STATI UNITI D'AMERICA;AMERICA DEL NORD;273;264;537;100;147;247;27;47;74;10;18;28;19;24;43;10;18;28;42;65;107;47;62;109;49;76;125;42;63;105;14;33;47;73;101;174;58;57;115;33;45;78;62;121;183;0;0;0;859;1.141;2.000
